description,amount,date,type,category
Monthly salary payment,10557.7,06/01/2024,income,Salary
Web development project,601.78,06/01/2024,income,Freelancing
Stock dividends,504.29999999999995,06/01/2024,income,Dividends
Bond interest,19.31,06/01/2024,income,Interest
Tenant rent,1099.42,06/01/2024,income,Rental Income
Business consulting,1129.28,06/01/2024,income,Consulting
Quarterly bonus,6356.58,06/01/2024,income,Bonus
Online sales,480.35,06/01/2024,income,Side Business
Investment gains,1922.98,06/01/2024,income,Investment Returns
Referral bonus,755.91,06/01/2024,income,Commission
Housing payment,1698.14,06/01/2024,expense,Rent
Supermarket purchase,291.88,06/01/2024,expense,Groceries
Internet service,115.76,06/01/2024,expense,Utilities
Uber ride,136.6,06/01/2024,expense,Transportation
Doctor visit,364.51,06/01/2024,expense,Healthcare
Concert tickets,178.3,06/01/2024,expense,Entertainment
Coffee shop,49.46,06/01/2024,expense,Dining Out
Home goods,165.06,06/01/2024,expense,Shopping
Life insurance,253.4,06/01/2024,expense,Insurance
Training program,257.12,06/01/2024,expense,Education
Supermarket purchase,345.83,06/08/2024,expense,Groceries
Food delivery,48.9,06/08/2024,expense,Dining Out
Grocery shopping,311.39,06/15/2024,expense,Groceries
Concert tickets,168.72,06/15/2024,expense,Entertainment
Food delivery,48.74,06/15/2024,expense,Dining Out
Consulting hours,1777.46,06/16/2024,income,Freelancing
Train ticket,109.34,06/16/2024,expense,Transportation
Project revenue,228.58,06/21/2024,income,Side Business
Home goods,324.55,06/21/2024,expense,Shopping
Supermarket purchase,285.69,06/22/2024,expense,Groceries
Food delivery,45.35,06/22/2024,expense,Dining Out
Grocery shopping,298.7,06/29/2024,expense,Groceries
Streaming service,72.93,06/29/2024,expense,Entertainment
Coffee shop,59.55,06/29/2024,expense,Dining Out
Salary deposit,5191.78,07/01/2024,income,Salary
Web development project,1947.94,07/01/2024,income,Freelancing
Bond interest,37.21,07/01/2024,income,Interest
Property income,1375.44,07/01/2024,income,Rental Income
Referral bonus,433.86,07/01/2024,income,Commission
Housing payment,1998.38,07/01/2024,expense,Rent
Water bill,152.68,07/01/2024,expense,Utilities
Fuel purchase,126.15,07/01/2024,expense,Transportation
Car insurance,368.33,07/01/2024,expense,Insurance
Food supplies,230.57,07/06/2024,expense,Groceries
Restaurant meal,96.74,07/06/2024,expense,Dining Out
Online sales,639.05,07/11/2024,income,Side Business
Electronics,471.64,07/11/2024,expense,Shopping
Food supplies,247.89,07/13/2024,expense,Groceries
Concert tickets,192.04,07/13/2024,expense,Entertainment
Food delivery,87.12,07/13/2024,expense,Dining Out
Consulting hours,1578.5,07/16/2024,income,Freelancing
Advisory fees,1920.27,07/16/2024,income,Consulting
Bus pass,180.86,07/16/2024,expense,Transportation
Food supplies,385.78,07/20/2024,expense,Groceries
Food delivery,44.08,07/20/2024,expense,Dining Out
Food supplies,329.98,07/27/2024,expense,Groceries
Movie tickets,117.72,07/27/2024,expense,Entertainment
Restaurant meal,53.67,07/27/2024,expense,Dining Out
Regular salary,2588.44,07/31/2024,income,Salary
Web development project,305.97,07/31/2024,income,Freelancing
Savings interest,44.39,07/31/2024,income,Interest
Tenant rent,1139.24,07/31/2024,income,Rental Income
Project revenue,219.08,07/31/2024,income,Side Business
Referral bonus,991.45,07/31/2024,income,Commission
Monthly rent payment,1596.25,07/31/2024,expense,Rent
Gas bill,231.8,07/31/2024,expense,Utilities
Uber ride,120.05,07/31/2024,expense,Transportation
Doctor visit,124.25,07/31/2024,expense,Healthcare
Electronics,199.46,07/31/2024,expense,Shopping
Home insurance,228.04,07/31/2024,expense,Insurance
Supermarket purchase,249.96,08/03/2024,expense,Groceries
Restaurant meal,86.56,08/03/2024,expense,Dining Out
Grocery shopping,210.12,08/10/2024,expense,Groceries
Movie tickets,195.35,08/10/2024,expense,Entertainment
Restaurant meal,41.64,08/10/2024,expense,Dining Out
Design work,1756.37,08/15/2024,income,Freelancing
Fuel purchase,106.85,08/15/2024,expense,Transportation
Supermarket purchase,385.3,08/17/2024,expense,Groceries
Food delivery,59.61,08/17/2024,expense,Dining Out
Online sales,695.68,08/20/2024,income,Side Business
Home goods,218.68,08/20/2024,expense,Shopping
Supermarket purchase,347.15,08/24/2024,expense,Groceries
Streaming service,58.57,08/24/2024,expense,Entertainment
Restaurant meal,94.36,08/24/2024,expense,Dining Out
Monthly salary payment,5921.56,08/30/2024,income,Salary
Design work,323.34,08/30/2024,income,Freelancing
Dividend payment,261.51,08/30/2024,income,Dividends
Bond interest,19.85,08/30/2024,income,Interest
